Parameter ID,Instance,Class Name,Module,Parameter Name,Description,Range/Enumerations,Default Value,Data Type,Access,Max Instances
61004,33,Digital I/O,4,AC Line Frequency,Set line frequency applied to control. Setting of any in DIO applies to all DIO.,"50 Hz (3), 60 Hz (4)",,Enumeration,R/W,60
61004,34,Digital I/O,4,AC Line Frequency,Set line frequency applied to control. Setting of any in DIO applies to all DIO.,"50 Hz (3), 60 Hz (4)",,Enumeration,R/W,60
61004,35,Digital I/O,4,AC Line Frequency,Set line frequency applied to control. Setting of any in DIO applies to all DIO.,"50 Hz (3), 60 Hz (4)",,Enumeration,R/W,60
61004,36,Digital I/O,4,AC Line Frequency,Set line frequency applied to control. Setting of any in DIO applies to all DIO.,"50 Hz (3), 60 Hz (4)",,Enumeration,R/W,60
61004,41,Digital I/O,5,AC Line Frequency,Set line frequency applied to control. Setting of any in DIO applies to all DIO.,"50 Hz (3), 60 Hz (4)",,Enumeration,R/W,60
61004,42,Digital I/O,5,AC Line Frequency,Set line frequency applied to control. Setting of any in DIO applies to all DIO.,"50 Hz (3), 60 Hz (4)",,Enumeration,R/W,60
61004,43,Digital I/O,5,AC Line Frequency,Set line frequency applied to control. Setting of any in DIO applies to all DIO.,"50 Hz (3), 60 Hz (4)",,Enumeration,R/W,60
61004,44,Digital I/O,5,AC Line Frequency,Set line frequency applied to control. Setting of any in DIO applies to all DIO.,"50 Hz (3), 60 Hz (4)",,Enumeration,R/W,60
61004,45,Digital I/O,5,AC Line Frequency,Set line frequency applied to control. Setting of any in DIO applies to all DIO.,"50 Hz (3), 60 Hz (4)",,Enumeration,R/W,60
61004,46,Digital I/O,5,AC Line Frequency,Set line frequency applied to control. Setting of any in DIO applies to all DIO.,"50 Hz (3), 60 Hz (4)",,Enumeration,R/W,60
61004,51,Digital I/O,6,AC Line Frequency,Set line frequency applied to control. Setting of any in DIO applies to all DIO.,"50 Hz (3), 60 Hz (4)",,Enumeration,R/W,60
61004,52,Digital I/O,6,AC Line Frequency,Set line frequency applied to control. Setting of any in DIO applies to all DIO.,"50 Hz (3), 60 Hz (4)",,Enumeration,R/W,60
61004,53,Digital I/O,6,AC Line Frequency,Set line frequency applied to control. Setting of any in DIO applies to all DIO.,"50 Hz (3), 60 Hz (4)",,Enumeration,R/W,60
61004,54,Digital I/O,6,AC Line Frequency,Set line frequency applied to control. Setting of any in DIO applies to all DIO.,"50 Hz (3), 60 Hz (4)",,Enumeration,R/W,60
61004,55,Digital I/O,6,AC Line Frequency,Set line frequency applied to control. Setting of any in DIO applies to all DIO.,"50 Hz (3), 60 Hz (4)",,Enumeration,R/W,60
61004,56,Digital I/O,6,AC Line Frequency,Set line frequency applied to control. Setting of any in DIO applies to all DIO.,"50 Hz (3), 60 Hz (4)",,Enumeration,R/W,60
62004,1,Digital Output Fast,1,AC Line Frequency,Set line frequency applied to control. Setting of any in DIO applies to all DIO.,"50 Hz (3), 60 Hz (4)",,Enumeration,R/W,60
62004,2,Digital Output Fast,1,AC Line Frequency,Set line frequency applied to control. Setting of any in DIO applies to all DIO.,"50 Hz (3), 60 Hz (4)",,Enumeration,R/W,60
62004,3,Digital Output Fast,1,AC Line Frequency,Set line frequency applied to control. Setting of any in DIO applies to all DIO.,"50 Hz (3), 60 Hz (4)",,Enumeration,R/W,60
62004,4,Digital Output Fast,1,AC Line Frequency,Set line frequency applied to control. Setting of any in DIO applies to all DIO.,"50 Hz (3), 60 Hz (4)",,Enumeration,R/W,60
62004,11,Digital Output Fast,2,AC Line Frequency,Set line frequency applied to control. Setting of any in DIO applies to all DIO.,"50 Hz (3), 60 Hz (4)",,Enumeration,R/W,60
62004,12,Digital Output Fast,2,AC Line Frequency,Set line frequency applied to control. Setting of any in DIO applies to all DIO.,"50 Hz (3), 60 Hz (4)",,Enumeration,R/W,60
62004,13,Digital Output Fast,2,AC Line Frequency,Set line frequency applied to control. Setting of any in DIO applies to all DIO.,"50 Hz (3), 60 Hz (4)",,Enumeration,R/W,60
62004,14,Digital Output Fast,2,AC Line Frequency,Set line frequency applied to control. Setting of any in DIO applies to all DIO.,"50 Hz (3), 60 Hz (4)",,Enumeration,R/W,60
62004,21,Digital Output Fast,3,AC Line Frequency,Set line frequency applied to control. Setting of any in DIO applies to all DIO.,"50 Hz (3), 60 Hz (4)",,Enumeration,R/W,60
62004,22,Digital Output Fast,3,AC Line Frequency,Set line frequency applied to control. Setting of any in DIO applies to all DIO.,"50 Hz (3), 60 Hz (4)",,Enumeration,R/W,60
62004,23,Digital Output Fast,3,AC Line Frequency,Set line frequency applied to control. Setting of any in DIO applies to all DIO.,"50 Hz (3), 60 Hz (4)",,Enumeration,R/W,60
62004,24,Digital Output Fast,3,AC Line Frequency,Set line frequency applied to control. Setting of any in DIO applies to all DIO.,"50 Hz (3), 60 Hz (4)",,Enumeration,R/W,60
62004,31,Digital Output Fast,4,AC Line Frequency,Set line frequency applied to control. Setting of any in DIO applies to all DIO.,"50 Hz (3), 60 Hz (4)",,Enumeration,R/W,60
62004,32,Digital Output Fast,4,AC Line Frequency,Set line frequency applied to control. Setting of any in DIO applies to all DIO.,"50 Hz (3), 60 Hz (4)",,Enumeration,R/W,60
62004,33,Digital Output Fast,4,AC Line Frequency,Set line frequency applied to control. Setting of any in DIO applies to all DIO.,"50 Hz (3), 60 Hz (4)",,Enumeration,R/W,60
62004,34,Digital Output Fast,4,AC Line Frequency,Set line frequency applied to control. Setting of any in DIO applies to all DIO.,"50 Hz (3), 60 Hz (4)",,Enumeration,R/W,60
62004,41,Digital Output Fast,5,AC Line Frequency,Set line frequency applied to control. Setting of any in DIO applies to all DIO.,"50 Hz (3), 60 Hz (4)",,Enumeration,R/W,60
62004,42,Digital Output Fast,5,AC Line Frequency,Set line frequency applied to control. Setting of any in DIO applies to all DIO.,"50 Hz (3), 60 Hz (4)",,Enumeration,R/W,60
62004,43,Digital Output Fast,5,AC Line Frequency,Set line frequency applied to control. Setting of any in DIO applies to all DIO.,"50 Hz (3), 60 Hz (4)",,Enumeration,R/W,60
62004,44,Digital Output Fast,5,AC Line Frequency,Set line frequency applied to control. Setting of any in DIO applies to all DIO.,"50 Hz (3), 60 Hz (4)",,Enumeration,R/W,60
62004,51,Digital Output Fast,6,AC Line Frequency,Set line frequency applied to control. Setting of any in DIO applies to all DIO.,"50 Hz (3), 60 Hz (4)",,Enumeration,R/W,60
62004,52,Digital Output Fast,6,AC Line Frequency,Set line frequency applied to control. Setting of any in DIO applies to all DIO.,"50 Hz (3), 60 Hz (4)",,Enumeration,R/W,60
62004,53,Digital Output Fast,6,AC Line Frequency,Set line frequency applied to control. Setting of any in DIO applies to all DIO.,"50 Hz (3), 60 Hz (4)",,Enumeration,R/W,60
62004,54,Digital Output Fast,6,AC Line Frequency,Set line frequency applied to control. Setting of any in DIO applies to all DIO.,"50 Hz (3), 60 Hz (4)",,Enumeration,R/W,60
70035,1,Ethernet,Base,Actual IP Addressing Mode,Monitor the actual IP address assignment method.,"None (61), DHCP (1281), Fixed (1284), Fail (32)",Fixed (1284),Enumeration,R,1
74017,1,Alarm,Base,Alarm Clearable,Monitor if alarm may be cleared with an alarm request.,"No (59), Yes (106)",No (59),Enumeration,R,14
74017,2,Alarm,Base,Alarm Clearable,Monitor if alarm may be cleared with an alarm request.,"No (59), Yes (106)",No (59),Enumeration,R,14
74017,3,Alarm,Base,Alarm Clearable,Monitor if alarm may be cleared with an alarm request.,"No (59), Yes (106)",No (59),Enumeration,R,14
74017,4,Alarm,Base,Alarm Clearable,Monitor if alarm may be cleared with an alarm request.,"No (59), Yes (106)",No (59),Enumeration,R,14
74017,5,Alarm,Base,Alarm Clearable,Monitor if alarm may be cleared with an alarm request.,"No (59), Yes (106)",No (59),Enumeration,R,14
74017,6,Alarm,Base,Alarm Clearable,Monitor if alarm may be cleared with an alarm request.,"No (59), Yes (106)",No (59),Enumeration,R,14
74017,7,Alarm,Base,Alarm Clearable,Monitor if alarm may be cleared with an alarm request.,"No (59), Yes (106)",No (59),Enumeration,R,14
74017,8,Alarm,Base,Alarm Clearable,Monitor if alarm may be cleared with an alarm request.,"No (59), Yes (106)",No (59),Enumeration,R,14
74017,9,Alarm,Base,Alarm Clearable,Monitor if alarm may be cleared with an alarm request.,"No (59), Yes (106)",No (59),Enumeration,R,14
74017,10,Alarm,Base,Alarm Clearable,Monitor if alarm may be cleared with an alarm request.,"No (59), Yes (106)",No (59),Enumeration,R,14
74017,11,Alarm,Base,Alarm Clearable,Monitor if alarm may be cleared with an alarm request.,"No (59), Yes (106)",No (59),Enumeration,R,14
74017,12,Alarm,Base,Alarm Clearable,Monitor if alarm may be cleared with an alarm request.,"No (59), Yes (106)",No (59),Enumeration,R,14
74017,13,Alarm,Base,Alarm Clearable,Monitor if alarm may be cleared with an alarm request.,"No (59), Yes (106)",No (59),Enumeration,R,14
74017,14,Alarm,Base,Alarm Clearable,Monitor if alarm may be cleared with an alarm request.,"No (59), Yes (106)",No (59),Enumeration,R,14
74015,1,Alarm,Base,Alarm Latched,Monitor if alarm is latched.,"No (59), Yes (106)",No (59),Enumeration,R,14
74015,2,Alarm,Base,Alarm Latched,Monitor if alarm is latched.,"No (59), Yes (106)",No (59),Enumeration,R,14
74015,3,Alarm,Base,Alarm Latched,Monitor if alarm is latched.,"No (59), Yes (106)",No (59),Enumeration,R,14
74015,4,Alarm,Base,Alarm Latched,Monitor if alarm is latched.,"No (59), Yes (106)",No (59),Enumeration,R,14
74015,5,Alarm,Base,Alarm Latched,Monitor if alarm is latched.,"No (59), Yes (106)",No (59),Enumeration,R,14
74015,6,Alarm,Base,Alarm Latched,Monitor if alarm is latched.,"No (59), Yes (106)",No (59),Enumeration,R,14
74015,7,Alarm,Base,Alarm Latched,Monitor if alarm is latched.,"No (59), Yes (106)",No (59),Enumeration,R,14
74015,8,Alarm,Base,Alarm Latched,Monitor if alarm is latched.,"No (59), Yes (106)",No (59),Enumeration,R,14
74015,9,Alarm,Base,Alarm Latched,Monitor if alarm is latched.,"No (59), Yes (106)",No (59),Enumeration,R,14
74015,10,Alarm,Base,Alarm Latched,Monitor if alarm is latched.,"No (59), Yes (106)",No (59),Enumeration,R,14
74015,11,Alarm,Base,Alarm Latched,Monitor if alarm is latched.,"No (59), Yes (106)",No (59),Enumeration,R,14
74015,12,Alarm,Base,Alarm Latched,Monitor if alarm is latched.,"No (59), Yes (106)",No (59),Enumeration,R,14
74015,13,Alarm,Base,Alarm Latched,Monitor if alarm is latched.,"No (59), Yes (106)",No (59),Enumeration,R,14
74015,14,Alarm,Base,Alarm Latched,Monitor if alarm is latched.,"No (59), Yes (106)",No (59),Enumeration,R,14
74016,1,Alarm,Base,Alarm Silenced,Monitor if alarm is silenced.,"No (59), Yes (106)",No (59),Enumeration,R,14
74016,2,Alarm,Base,Alarm Silenced,Monitor if alarm is silenced.,"No (59), Yes (106)",No (59),Enumeration,R,14
74016,3,Alarm,Base,Alarm Silenced,Monitor if alarm is silenced.,"No (59), Yes (106)",No (59),Enumeration,R,14
74016,4,Alarm,Base,Alarm Silenced,Monitor if alarm is silenced.,"No (59), Yes (106)",No (59),Enumeration,R,14
74016,5,Alarm,Base,Alarm Silenced,Monitor if alarm is silenced.,"No (59), Yes (106)",No (59),Enumeration,R,14
74016,6,Alarm,Base,Alarm Silenced,Monitor if alarm is silenced.,"No (59), Yes (106)",No (59),Enumeration,R,14
74016,7,Alarm,Base,Alarm Silenced,Monitor if alarm is silenced.,"No (59), Yes (106)",No (59),Enumeration,R,14
74016,8,Alarm,Base,Alarm Silenced,Monitor if alarm is silenced.,"No (59), Yes (106)",No (59),Enumeration,R,14
74016,9,Alarm,Base,Alarm Silenced,Monitor if alarm is silenced.,"No (59), Yes (106)",No (59),Enumeration,R,14
74016,10,Alarm,Base,Alarm Silenced,Monitor if alarm is silenced.,"No (59), Yes (106)",No (59),Enumeration,R,14
74016,11,Alarm,Base,Alarm Silenced,Monitor if alarm is silenced.,"No (59), Yes (106)",No (59),Enumeration,R,14
74016,12,Alarm,Base,Alarm Silenced,Monitor if alarm is silenced.,"No (59), Yes (106)",No (59),Enumeration,R,14
74016,13,Alarm,Base,Alarm Silenced,Monitor if alarm is silenced.,"No (59), Yes (106)",No (59),Enumeration,R,14
74016,14,Alarm,Base,Alarm Silenced,Monitor if alarm is silenced.,"No (59), Yes (106)",No (59),Enumeration,R,14
74018,1,Alarm,Base,Alarm Source,Set what source will trigger this alarm.,"None (61), Analog Input (142), Current (22), Cool Power (161), Heat Power (160), Power (73), Linearization (238), Math (240), Process Value (241), Set Point Closed (242), Set Point Open (243), Special Function Output 1 (1532), Special Function Output 2 (1533), Special Function Output 3 (1534), Special Function Output 4 (1535), Variable (245), Condition (10001), Encoder (1740), Profile Number (1779), Cascade Cool Power (1795), Cascade Heat Power (1794), Cascade Power (1796), Cascade Set Point Closed (1797), Cascade Set Point Open (1798)",None (61),Enumeration,R/W,14
74018,2,Alarm,Base,Alarm Source,Set what source will trigger this alarm.,"None (61), Analog Input (142), Current (22), Cool Power (161), Heat Power (160), Power (73), Linearization (238), Math (240), Process Value (241), Set Point Closed (242), Set Point Open (243), Special Function Output 1 (1532), Special Function Output 2 (1533), Special Function Output 3 (1534), Special Function Output 4 (1535), Variable (245), Condition (10001), Encoder (1740), Profile Number (1779), Cascade Cool Power (1795), Cascade Heat Power (1794), Cascade Power (1796), Cascade Set Point Closed (1797), Cascade Set Point Open (1798)",None (61),Enumeration,R/W,14
74018,3,Alarm,Base,Alarm Source,Set what source will trigger this alarm.,"None (61), Analog Input (142), Current (22), Cool Power (161), Heat Power (160), Power (73), Linearization (238), Math (240), Process Value (241), Set Point Closed (242), Set Point Open (243), Special Function Output 1 (1532), Special Function Output 2 (1533), Special Function Output 3 (1534), Special Function Output 4 (1535), Variable (245), Condition (10001), Encoder (1740), Profile Number (1779), Cascade Cool Power (1795), Cascade Heat Power (1794), Cascade Power (1796), Cascade Set Point Closed (1797), Cascade Set Point Open (1798)",None (61),Enumeration,R/W,14
74018,4,Alarm,Base,Alarm Source,Set what source will trigger this alarm.,"None (61), Analog Input (142), Current (22), Cool Power (161), Heat Power (160), Power (73), Linearization (238), Math (240), Process Value (241), Set Point Closed (242), Set Point Open (243), Special Function Output 1 (1532), Special Function Output 2 (1533), Special Function Output 3 (1534), Special Function Output 4 (1535), Variable (245), Condition (10001), Encoder (1740), Profile Number (1779), Cascade Cool Power (1795), Cascade Heat Power (1794), Cascade Power (1796), Cascade Set Point Closed (1797), Cascade Set Point Open (1798)",None (61),Enumeration,R/W,14
74018,5,Alarm,Base,Alarm Source,Set what source will trigger this alarm.,"None (61), Analog Input (142), Current (22), Cool Power (161), Heat Power (160), Power (73), Linearization (238), Math (240), Process Value (241), Set Point Closed (242), Set Point Open (243), Special Function Output 1 (1532), Special Function Output 2 (1533), Special Function Output 3 (1534), Special Function Output 4 (1535), Variable (245), Condition (10001), Encoder (1740), Profile Number (1779), Cascade Cool Power (1795), Cascade Heat Power (1794), Cascade Power (1796), Cascade Set Point Closed (1797), Cascade Set Point Open (1798)",None (61),Enumeration,R/W,14
74018,6,Alarm,Base,Alarm Source,Set what source will trigger this alarm.,"None (61), Analog Input (142), Current (22), Cool Power (161), Heat Power (160), Power (73), Linearization (238), Math (240), Process Value (241), Set Point Closed (242), Set Point Open (243), Special Function Output 1 (1532), Special Function Output 2 (1533), Special Function Output 3 (1534), Special Function Output 4 (1535), Variable (245), Condition (10001), Encoder (1740), Profile Number (1779), Cascade Cool Power (1795), Cascade Heat Power (1794), Cascade Power (1796), Cascade Set Point Closed (1797), Cascade Set Point Open (1798)",None (61),Enumeration,R/W,14
74018,7,Alarm,Base,Alarm Source,Set what source will trigger this alarm.,"None (61), Analog Input (142), Current (22), Cool Power (161), Heat Power (160), Power (73), Linearization (238), Math (240), Process Value (241), Set Point Closed (242), Set Point Open (243), Special Function Output 1 (1532), Special Function Output 2 (1533), Special Function Output 3 (1534), Special Function Output 4 (1535), Variable (245), Condition (10001), Encoder (1740), Profile Number (1779), Cascade Cool Power (1795), Cascade Heat Power (1794), Cascade Power (1796), Cascade Set Point Closed (1797), Cascade Set Point Open (1798)",None (61),Enumeration,R/W,14
74018,8,Alarm,Base,Alarm Source,Set what source will trigger this alarm.,"None (61), Analog Input (142), Current (22), Cool Power (161), Heat Power (160), Power (73), Linearization (238), Math (240), Process Value (241), Set Point Closed (242), Set Point Open (243), Special Function Output 1 (1532), Special Function Output 2 (1533), Special Function Output 3 (1534), Special Function Output 4 (1535), Variable (245), Condition (10001), Encoder (1740), Profile Number (1779), Cascade Cool Power (1795), Cascade Heat Power (1794), Cascade Power (1796), Cascade Set Point Closed (1797), Cascade Set Point Open (1798)",None (61),Enumeration,R/W,14
74018,9,Alarm,Base,Alarm Source,Set what source will trigger this alarm.,"None (61), Analog Input (142), Current (22), Cool Power (161), Heat Power (160), Power (73), Linearization (238), Math (240), Process Value (241), Set Point Closed (242), Set Point Open (243), Special Function Output 1 (1532), Special Function Output 2 (1533), Special Function Output 3 (1534), Special Function Output 4 (1535), Variable (245), Condition (10001), Encoder (1740), Profile Number (1779), Cascade Cool Power (1795), Cascade Heat Power (1794), Cascade Power (1796), Cascade Set Point Closed (1797), Cascade Set Point Open (1798)",None (61),Enumeration,R/W,14
74018,10,Alarm,Base,Alarm Source,Set what source will trigger this alarm.,"None (61), Analog Input (142), Current (22), Cool Power (161), Heat Power (160), Power (73), Linearization (238), Math (240), Process Value (241), Set Point Closed (242), Set Point Open (243), Special Function Output 1 (1532), Special Function Output 2 (1533), Special Function Output 3 (1534), Special Function Output 4 (1535), Variable (245), Condition (10001), Encoder (1740), Profile Number (1779), Cascade Cool Power (1795), Cascade Heat Power (1794), Cascade Power (1796), Cascade Set Point Closed (1797), Cascade Set Point Open (1798)",None (61),Enumeration,R/W,14
74018,11,Alarm,Base,Alarm Source,Set what source will trigger this alarm.,"None (61), Analog Input (142), Current (22), Cool Power (161), Heat Power (160), Power (73), Linearization (238), Math (240), Process Value (241), Set Point Closed (242), Set Point Open (243), Special Function Output 1 (1532), Special Function Output 2 (1533), Special Function Output 3 (1534), Special Function Output 4 (1535), Variable (245), Condition (10001), Encoder (1740), Profile Number (1779), Cascade Cool Power (1795), Cascade Heat Power (1794), Cascade Power (1796), Cascade Set Point Closed (1797), Cascade Set Point Open (1798)",None (61),Enumeration,R/W,14
74018,12,Alarm,Base,Alarm Source,Set what source will trigger this alarm.,"None (61), Analog Input (142), Current (22), Cool Power (161), Heat Power (160), Power (73), Linearization (238), Math (240), Process Value (241), Set Point Closed (242), Set Point Open (243), Special Function Output 1 (1532), Special Function Output 2 (1533), Special Function Output 3 (1534), Special Function Output 4 (1535), Variable (245), Condition (10001), Encoder (1740), Profile Number (1779), Cascade Cool Power (1795), Cascade Heat Power (1794), Cascade Power (1796), Cascade Set Point Closed (1797), Cascade Set Point Open (1798)",None (61),Enumeration,R/W,14
74018,13,Alarm,Base,Alarm Source,Set what source will trigger this alarm.,"None (61), Analog Input (142), Current (22), Cool Power (161), Heat Power (160), Power (73), Linearization (238), Math (240), Process Value (241), Set Point Closed (242), Set Point Open (243), Special Function Output 1 (1532), Special Function Output 2 (1533), Special Function Output 3 (1534), Special Function Output 4 (1535), Variable (245), Condition (10001), Encoder (1740), Profile Number (1779), Cascade Cool Power (1795), Cascade Heat Power (1794), Cascade Power (1796), Cascade Set Point Closed (1797), Cascade Set Point Open (1798)",None (61),Enumeration,R/W,14
74018,14,Alarm,Base,Alarm Source,Set what source will trigger this alarm.,"None (61), Analog Input (142), Current (22), Cool Power (161), Heat Power (160), Power (73), Linearization (238), Math (240), Process Value (241), Set Point Closed (242), Set Point Open (243), Special Function Output 1 (1532), Special Function Output 2 (1533), Special Function Output 3 (1534), Special Function Output 4 (1535), Variable (245), Condition (10001), Encoder (1740), Profile Number (1779), Cascade Cool Power (1795), Cascade Heat Power (1794), Cascade Power (1796), Cascade Set Point Closed (1797), Cascade Set Point Open (1798)",None (61),Enumeration,R/W,14
74019,1,Alarm,Base,Alarm Source Instance,Set what source instance will trigger this alarm.,1 to 250,1,Unsigned 8-bit,R/W,14
74019,2,Alarm,Base,Alarm Source Instance,Set what source instance will trigger this alarm.,1 to 250,1,Unsigned 8-bit,R/W,14
74019,3,Alarm,Base,Alarm Source Instance,Set what source instance will trigger this alarm.,1 to 250,1,Unsigned 8-bit,R/W,14
74019,4,Alarm,Base,Alarm Source Instance,Set what source instance will trigger this alarm.,1 to 250,1,Unsigned 8-bit,R/W,14
74019,5,Alarm,Base,Alarm Source Instance,Set what source instance will trigger this alarm.,1 to 250,1,Unsigned 8-bit,R/W,14
74019,6,Alarm,Base,Alarm Source Instance,Set what source instance will trigger this alarm.,1 to 250,1,Unsigned 8-bit,R/W,14
74019,7,Alarm,Base,Alarm Source Instance,Set what source instance will trigger this alarm.,1 to 250,1,Unsigned 8-bit,R/W,14
74019,8,Alarm,Base,Alarm Source Instance,Set what source instance will trigger this alarm.,1 to 250,1,Unsigned 8-bit,R/W,14
74019,9,Alarm,Base,Alarm Source Instance,Set what source instance will trigger this alarm.,1 to 250,1,Unsigned 8-bit,R/W,14
74019,10,Alarm,Base,Alarm Source Instance,Set what source instance will trigger this alarm.,1 to 250,1,Unsigned 8-bit,R/W,14
74019,11,Alarm,Base,Alarm Source Instance,Set what source instance will trigger this alarm.,1 to 250,1,Unsigned 8-bit,R/W,14
74019,12,Alarm,Base,Alarm Source Instance,Set what source instance will trigger this alarm.,1 to 250,1,Unsigned 8-bit,R/W,14
74019,13,Alarm,Base,Alarm Source Instance,Set what source instance will trigger this alarm.,1 to 250,1,Unsigned 8-bit,R/W,14
74019,14,Alarm,Base,Alarm Source Instance,Set what source instance will trigger this alarm.,1 to 250,1,Unsigned 8-bit,R/W,14
74020,1,Alarm,Base,Alarm Source Zone,Set the zone of the function source. 0=inside this module,0 to 24,0,Unsigned 8-bit,R/W,14
74020,2,Alarm,Base,Alarm Source Zone,Set the zone of the function source. 0=inside this module,0 to 24,0,Unsigned 8-bit,R/W,14
74020,3,Alarm,Base,Alarm Source Zone,Set the zone of the function source. 0=inside this module,0 to 24,0,Unsigned 8-bit,R/W,14
74020,4,Alarm,Base,Alarm Source Zone,Set the zone of the function source. 0=inside this module,0 to 24,0,Unsigned 8-bit,R/W,14
74020,5,Alarm,Base,Alarm Source Zone,Set the zone of the function source. 0=inside this module,0 to 24,0,Unsigned 8-bit,R/W,14
74020,6,Alarm,Base,Alarm Source Zone,Set the zone of the function source. 0=inside this module,0 to 24,0,Unsigned 8-bit,R/W,14
74020,7,Alarm,Base,Alarm Source Zone,Set the zone of the function source. 0=inside this module,0 to 24,0,Unsigned 8-bit,R/W,14
74020,8,Alarm,Base,Alarm Source Zone,Set the zone of the function source. 0=inside this module,0 to 24,0,Unsigned 8-bit,R/W,14
74020,9,Alarm,Base,Alarm Source Zone,Set the zone of the function source. 0=inside this module,0 to 24,0,Unsigned 8-bit,R/W,14
74020,10,Alarm,Base,Alarm Source Zone,Set the zone of the function source. 0=inside this module,0 to 24,0,Unsigned 8-bit,R/W,14
74020,11,Alarm,Base,Alarm Source Zone,Set the zone of the function source. 0=inside this module,0 to 24,0,Unsigned 8-bit,R/W,14
